# Radial distribution function (50 data points):
# "Pair separation distance" g(r)
0.1 0.0 
0.3 0.0 
0.5 0.0 
0.7 0.0 
0.9 0.0 
1.1 0.0 
1.3 0.0 
1.5 0.0 
1.7 0.0258151174 
1.9 0.0041342291 
2.1 0.1252384156 
2.3 0.7281033571 
2.5 1.3043184401 
2.7 1.6242381062 
2.9 1.5411829656 
3.1 1.1296996141 
3.3 0.9105627022 
3.5 0.770487152 
3.7 0.6152795697 
3.9 0.5773717304 
4.1 0.5588553246 
4.3 0.6195590956 
4.5 0.7338869095 
4.7 0.7701317884 
4.9 0.8074670586 
5.1 0.8516236547 
5.3 0.8103716992 
5.5 0.7801649324 
5.7 0.7585640371 
5.9 0.6912776295 
6.1 0.6820204181 
6.3 0.6172041644 
6.5 0.6427402154 
6.7 0.6368873916 
6.9 0.6290546268 
7.1 0.6406382226 
7.3 0.6584346884 
7.5 0.6410495131 
7.7 0.6333765472 
7.9 0.6254096857 
8.1 0.6085684423 
8.3 0.6006274019 
8.5 0.5710424021 
8.7 0.5790353119 
8.9 0.5548134109 
9.1 0.5597370835 
9.3 0.5488754791 
9.5 0.5524915657 
9.7 0.5207359494 
9.9 0.5192655909 
