# Radial distribution function (50 data points):
# "Pair separation distance" g(r)
0.1 0.0 
0.3 0.0 
0.5 0.0 
0.7 0.0 
0.9 0.0 
1.1 0.0 
1.3 0.0 
1.5 0.0 
1.7 0.0304140983 
1.9 0.0 
2.1 0.0996957601 
2.3 0.6455781788 
2.5 1.3931472769 
2.7 1.6831451104 
2.9 1.5758776616 
3.1 1.2738979505 
3.3 0.852246216 
3.5 0.6583102334 
3.7 0.5762291975 
3.9 0.5552905301 
4.1 0.5940396773 
4.3 0.6304840376 
4.5 0.7161795994 
4.7 0.7866458757 
4.9 0.8782711183 
5.1 0.8445745143 
5.3 0.8091901557 
5.5 0.7838969093 
5.7 0.7786046594 
5.9 0.6921721477 
6.1 0.6518671515 
6.3 0.6366340618 
6.5 0.6372852485 
6.7 0.6308448842 
6.9 0.6182170101 
7.1 0.6432288178 
7.3 0.6709389136 
7.5 0.6637924403 
7.7 0.6403956144 
7.9 0.6356412257 
8.1 0.595028975 
8.3 0.5943747896 
8.5 0.5709972403 
8.7 0.5622920484 
8.9 0.574890961 
9.1 0.5670785582 
9.3 0.5556687477 
9.5 0.5497445237 
9.7 0.5249710972 
9.9 0.5237271035 
