# Radial distribution function (50 data points):
# "Pair separation distance" g(r)
0.1 0.0 
0.3 0.0 
0.5 0.0 
0.7 0.0 
0.9 0.0 
1.1 0.0 
1.3 0.0 
1.5 0.0 
1.7 0.0512368609 
1.9 0.0041027302 
2.1 0.1175661506 
2.3 0.7309577052 
2.5 1.2801567928 
2.7 1.5935694091 
2.9 1.4853898887 
3.1 1.1981963767 
3.3 0.9662256005 
3.5 0.7077544401 
3.7 0.5261481813 
3.9 0.6002571137 
4.1 0.5801670434 
4.3 0.6469032329 
4.5 0.6902337116 
4.7 0.7615801238 
4.9 0.7920547293 
5.1 0.8354470865 
5.3 0.7978651639 
5.5 0.8060716635 
5.7 0.7281479074 
5.9 0.6830299385 
6.1 0.6553122911 
6.3 0.6453675897 
6.5 0.6241600342 
6.7 0.6105708168 
6.9 0.6267526409 
7.1 0.6416383551 
7.3 0.6464638188 
7.5 0.6129745351 
7.7 0.5997984877 
7.9 0.6417840972 
8.1 0.6172620515 
8.3 0.5997092604 
8.5 0.573052 
8.7 0.5587597641 
8.9 0.5387959969 
9.1 0.549386024 
9.3 0.5368093892 
9.5 0.5165809464 
9.7 0.5344141812 
9.9 0.5320980413 
