# Radial distribution function (50 data points):
# "Pair separation distance" g(r)
0.1 0.0 
0.3 0.0 
0.5 0.0 
0.7 0.0 
0.9 0.0 
1.1 0.0 
1.3 0.0 
1.5 0.0 
1.7 0.0146991435 
1.9 0.0 
2.1 0.0803049886 
2.3 0.607947197 
2.5 1.3012764186 
2.7 1.712454701 
2.9 1.6732097987 
3.1 1.2755907249 
3.3 0.9005639292 
3.5 0.6270674894 
3.7 0.4896899682 
3.9 0.4761740957 
4.1 0.5286679278 
4.3 0.587195635 
4.5 0.7258577071 
4.7 0.8559804211 
4.9 0.8696000259 
5.1 0.8321704261 
5.3 0.7872099463 
5.5 0.8167580079 
5.7 0.7382022074 
5.9 0.6833065671 
6.1 0.6327618774 
6.3 0.576441455 
6.5 0.5945275555 
6.7 0.6107224198 
6.9 0.6404438656 
7.1 0.6478975048 
7.3 0.6655545658 
7.5 0.6423782384 
7.7 0.6393295579 
7.9 0.6007828756 
8.1 0.607780661 
8.3 0.5844002439 
8.5 0.5613441703 
8.7 0.5393915064 
8.9 0.5544372121 
9.1 0.5337588533 
9.3 0.537765383 
9.5 0.5337395319 
9.7 0.5265717702 
9.9 0.5228683918 
