# Radial distribution function (50 data points):
# "Pair separation distance" g(r)
0.1 0.0 
0.3 0.0 
0.5 0.0 
0.7 0.0 
0.9 0.0 
1.1 0.0 
1.3 0.0 
1.5 0.0 
1.7 0.0095137924 
1.9 0.0 
2.1 0.015592847 
2.3 0.4732213056 
2.5 1.3777959338 
2.7 1.9984442712 
2.9 1.9892420171 
3.1 1.380146465 
3.3 0.8427275378 
3.5 0.4717557336 
3.7 0.3507828817 
3.9 0.3636836833 
4.1 0.4936119144 
4.3 0.6467355344 
4.5 0.7590647214 
4.7 0.8821128592 
4.9 0.9393958753 
5.1 0.940714624 
5.3 0.8769440859 
5.5 0.8079637454 
5.7 0.7662428691 
5.9 0.641250012 
6.1 0.5492246558 
6.3 0.5582522082 
6.5 0.590227394 
6.7 0.5950669459 
6.9 0.6564636637 
7.1 0.6726938145 
7.3 0.7065865283 
7.5 0.7141804832 
7.7 0.6650294916 
7.9 0.6304620103 
8.1 0.5934211087 
8.3 0.5687644112 
8.5 0.5394578364 
8.7 0.5269420966 
8.9 0.5248975928 
9.1 0.5364823087 
9.3 0.5563024008 
9.5 0.563168301 
9.7 0.550570459 
9.9 0.5417503602 
