# Radial distribution function (50 data points):
# "Pair separation distance" g(r)
0.1 0.0 
0.3 0.0 
0.5 0.0 
0.7 0.0 
0.9 0.0 
1.1 0.0 
1.3 0.0 
1.5 0.0 
1.7 0.0094942525 
1.9 0.0 
2.1 0.0031121643 
2.3 0.4177590678 
2.5 1.3947340342 
2.7 2.1788962363 
2.9 2.150041941 
3.1 1.3673106267 
3.3 0.7275188874 
3.5 0.4450056361 
3.7 0.3169619683 
3.9 0.3457830062 
4.1 0.4868797245 
4.3 0.665460167 
4.5 0.8354942206 
4.7 0.9716883273 
4.9 0.9649212835 
5.1 0.9261105588 
5.3 0.8687871891 
5.5 0.8267343186 
5.7 0.7494518267 
5.9 0.6099484526 
6.1 0.5739328367 
6.3 0.565064295 
6.5 0.5844642669 
6.7 0.6345358323 
6.9 0.6960781282 
7.1 0.7061855649 
7.3 0.7208565254 
7.5 0.6819490464 
7.7 0.6710762698 
7.9 0.6419309335 
8.1 0.6051809416 
8.3 0.564207026 
8.5 0.5478546366 
8.7 0.532392258 
8.9 0.5385579177 
9.1 0.5582684676 
9.3 0.562464575 
9.5 0.5807301419 
9.7 0.5755687095 
9.9 0.5538103007 
